11900,158470,70799050,86571,159244,70799050,80155,159427,70799050,498737
12000,161218,71994000,96269,161582,71994000,90216,162099,71994000,527293
12100,163971,73198950,98981,163706,73198950,76664,164850,73198950,628593
12200,166700,74413900,108314,166873,74413900,83405,171785,74413900,386249
12300,170121,75638850,100904,169388,75638850,74506,177620,75638850,460728
12400,176329,76873800,96140,179015,76873800,75345,173620,76873800,480897
12500,175562,78118750,108462,174889,78118750,82790,176120,78118750,575201
12600,178316,79373700,100962,178016,79373700,76039,178587,79373700,405491
12700,180579,80638650,104190,180454,80638650,71292,181493,80638650,667891
12800,183964,81913600,96073,186165,81913600,86460,185525,81913600,677416
12900,188099,83198550,104202,196310,83198550,88661,188065,83198550,629871
13000,189491,84493500,92287,189171,84493500,75992,190538,84493500,507030
13100,193211,85798450,109229,193543,85798450,69933,194995,85798450,928033
13200,196148,87113400,103755,195479,87113400,83702,196239,87113400,526027
13300,199435,88438350,109977,199457,88438350,93976,199710,88438350,447520
13400,201540,89773300,112332,203629,89773300,79339,202906,89773300,749851
13500,204229,91118250,105151,204277,91118250,95008,204612,91118250,332760
13600,207283,92473200,118398,207635,92473200,88381,207882,92473200,421712
13700,210438,93838150,109234,213293,93838150,100757,211872,93838150,508012
13800,213703,95213100,107572,215363,95213100,86345,214795,95213100,637870
13900,216862,96598050,101329,218784,96598050,82147,219000,96598050,1075233
14000,220662,97993000,118831,220639,97993000,97917,220493,97993000,495994
14100,223152,99397950,107429,222505,99397950,86214,226523,99397950,368564
14200,226068,100812900,112543,225915,100812900,89207,227144,100812900,654478
14300,229678,102237850,116831,229681,102237850,92414,231000,102237850,371687
14400,232860,103672800,119251,232531,103672800,97853,234123,103672800,597348
14500,236653,105117750,122569,235742,105117750,87235,236906,105117750,1055489
14600,239448,106572700,110501,238741,106572700,93710,239817,106572700,468044
14700,241756,108037650,114058,241775,108037650,96610,246010,108037650,551680
14800,246245,109512600,100648,253286,109512600,87768,250338,109512600,639750
14900,249214,110997550,129835,248753,110997550,92336,250377,110997550,796924
